battery_id,cycle,cycle_type,capacity,voltage_mean,voltage_min,voltage_max,current_mean,current_min,current_max,temperature_mean,temperature_min,temperature_max,current_load_mean,voltage_load_mean,discharge_duration
B0005,2,discharge,1.8564874208181574,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,-2.0180146876333027,0.000728585272845447,32.572328114029,24.325993424022467,38.98218133148803,-1.8055695431472079,2.4049441624365477,3690.234
B0005,4,discharge,1.846327249719927,3.5373201277859714,2.587208728940726,4.189773213846608,-1.8175598506612867,-2.016820542901454,0.002927403359080335,32.72523522519307,24.685948163596,39.033397966787035,-1.8045826530612243,2.399260204081633,3672.344
B0005,6,discharge,1.8353491942234077,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,-2.016573862170142,0.0014836763652280672,32.64286193755933,24.734266163954402,38.818796689817404,-1.8035753846153844,2.3979692307692306,3651.641
B0005,8,discharge,1.8352625275821128,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,-2.0159359571668354,0.001547011952723541,32.51487646204882,24.652243741292516,38.7623045063458,-1.8128628865979384,2.4082886597938145,3631.563
B0005,10,discharge,1.8346455082120419,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277586,-2.017425579158831,0.001701454824503414,32.38234901543077,24.518700434435164,38.66539257343368,-1.8128762886597938,2.408505154639175,3629.172
B0005,12,discharge,1.8356616600675495,3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168803,-2.0162347618032066,0.0024899497555445145,32.43418218230641,24.51442664842638,38.75169504640032,-1.80365641025641,2.3962512820512822,3652.281
B0005,14,discharge,1.8351461429226603,3.5410250495075215,2.487927319492314,4.18839163793879,-1.816791144707133,-2.01583310669507,0.002314295882739856,32.480416444757985,24.575581239008407,38.8207012322275,-1.8036205128205127,2.394646153846154,3650.828
B0005,16,discharge,1.8257567905665537,3.554133296801584,2.6652049047458775,4.188927891511958,-1.8443412120754061,-2.0166395518034546,0.002227616056915605,32.41046186109587,24.71132429046902,38.51713023385634,-1.8308837696335079,2.434628272251309,3572.453
B0005,18,discharge,1.8247738529891333,3.5529355991467955,2.6038584726333673,4.189029250882121,-1.853972745505648,-2.018357230695621,0.005401028321021492,32.3461408313,24.628487294051176,38.526267904657,-1.8405052631578949,2.4485105263157894,3550.594
B0005,20,discharge,1.824613268496936,3.5512057319376997,2.552853984885676,4.189223427076418,-1.8535899338510957,-2.0160718378149842,0.0030191479674457028,32.27679750791685,24.561560340089137,38.52698128472781,-1.8404957894736844,2.4496526315789473,3551.25
