battery_id,cycle,cycle_type,capacity,voltage_mean,voltage_min,voltage_max,current_mean,current_min,current_max,temperature_mean,temperature_min,temperature_max,current_load_mean,voltage_load_mean,discharge_duration,initial_capacity,soh
B0005,2,discharge,1.8564874208181572,3.52982866886934,2.612467347907089,4.191491807505295,-1.8187019641679727,-2.0180146876333027,0.0007285852728454,32.572328114029,24.325993424022467,38.98218133148803,-1.805569543147208,2.404944162436548,3690.234,1.8564874208181572,100.0
B0005,4,discharge,1.846327249719927,3.5373201277859714,2.587208728940726,4.189773213846608,-1.817559850661287,-2.016820542901454,0.0029274033590803,32.72523522519307,24.685948163596,39.03339796678704,-1.8045826530612243,2.399260204081633,3672.344,1.8564874208181572,99.45272071416716
B0005,6,discharge,1.835349194223408,3.5437367282719,2.65191689384378,4.188186735991303,-1.816486541884096,-2.016573862170142,0.001483676365228,32.64286193755933,24.7342661639544,38.81879668981741,-1.8035753846153844,2.39796923076923,3651.641,1.8564874208181572,98.86138595081707
B0005,8,discharge,1.8352625275821128,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,-2.0159359571668354,0.0015470119527235,32.51487646204882,24.65224374129252,38.7623045063458,-1.8128628865979384,2.4082886597938145,3631.563,1.8564874208181572,98.85671763794174
B0005,10,discharge,1.8346455082120416,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277584,-2.017425579158831,0.0017014548245034,32.38234901543077,24.518700434435164,38.66539257343368,-1.8128762886597936,2.408505154639175,3629.172,1.8564874208181572,98.82348178817772
B0005,12,discharge,1.8356616600675493,3.541334734634757,2.5209480504077413,4.188815807948604,-1.8168108743168805,-2.0162347618032066,0.0024899497555445,32.43418218230641,24.51442664842638,38.75169504640032,-1.80365641025641,2.3962512820512822,3652.281,1.8564874208181572,98.87821697485944
B0005,14,discharge,1.8351461429226603,3.541025049507521,2.487927319492314,4.18839163793879,-1.816791144707133,-2.01583310669507,0.0023142958827398,32.480416444757985,24.575581239008407,38.8207012322275,-1.8036205128205127,2.394646153846154,3650.828,1.8564874208181572,98.85044855913478
B0005,16,discharge,1.8257567905665535,3.554133296801584,2.665204904745877,4.188927891511958,-1.844341212075406,-2.0166395518034546,0.0022276160569156,32.41046186109587,24.71132429046902,38.51713023385634,-1.830883769633508,2.434628272251309,3572.453,1.8564874208181572,98.34468955151549
B0005,18,discharge,1.8247738529891333,3.5529355991467955,2.603858472633368,4.189029250882121,-1.853972745505648,-2.018357230695621,0.0054010283210214,32.3461408313,24.628487294051176,38.526267904657,-1.8405052631578949,2.4485105263157894,3550.594,1.8564874208181572,98.29174345738106
B0005,20,discharge,1.824613268496936,3.5512057319377,2.552853984885676,4.189223427076418,-1.853589933851096,-2.016071837814984,0.0030191479674457,32.27679750791685,24.561560340089137,38.52698128472781,-1.8404957894736844,2.4496526315789477,3551.25,1.8564874208181572,98.28309354731991
